Source Title,Authors,Year,Journal/Publisher,DOI/URL,Database/Source,Citations,Search Keywords
-,,,,,IEEE,,CBF gain parameter tuning
-,,,,,IEEE,,CBF gain parameter tuning
-,,,,,IEEE,,CBF gain parameter tuning
-,,,,,IEEE,,CBF gain parameter tuning
-,,,,,IEEE,,CBF gain parameter tuning
-,,,,,IEEE,,CBF gain parameter tuning
-,,,,,IEEE,,CBF gain parameter tuning
-,,,,,IEEE,,CBF gain parameter tuning
-,,,,,IEEE,,LQR CBF RRT-star vehicles
-,,,,,IEEE,,LQR CBF RRT-star vehicles
-,,,,,IEEE,,LQR CBF RRT-star vehicles
-,,,,,IEEE,,LQR CBF RRT-star vehicles
-,,,,,IEEE,,LQR CBF RRT-star vehicles
-,,,,,IEEE,,LQR CBF RRT-star vehicles
-,,,,,IEEE,,LQR CBF RRT-star vehicles
-,,,,,IEEE,,LQR CBF RRT-star vehicles
-,,,,,IEEE,,LQR CBF RRT-star vehicles
-,,,,,IEEE,,LQR CBF RRT-star vehicles
-,,,,,springer,,LQR CBF RRT-star vehicles
-,,,,,springer,,LQR CBF RRT-star vehicles
-,,,,,springer,,LQR CBF RRT-star vehicles
-,,,,,springer,,LQR CBF RRT-star vehicles
-,,,,,springer,,LQR CBF RRT-star vehicles
-,,,,,springer,,LQR CBF RRT-star vehicles
-,,,,,springer,,LQR CBF RRT-star vehicles
-,,,,,springer,,LQR CBF RRT-star vehicles
-,,,,,springer,,LQR CBF RRT-star vehicles
-,,,,,springer,,LQR CBF RRT-star vehicles
-,,,,,google scholar,,LQR CBF RRT-star vehicles
-,,,,,google scholar,,LQR CBF RRT-star vehicles
-,,,,,google scholar,,LQR CBF RRT-star vehicles
-,,,,,google scholar,,LQR CBF RRT-star vehicles
-,,,,,google scholar,,LQR CBF RRT-star vehicles
-,,,,,google scholar,,LQR CBF RRT-star vehicles
-,,,,,google scholar,,LQR CBF RRT-star vehicles
-,,,,,google scholar,,LQR CBF RRT-star vehicles
-,,,,,IEEE,,safe LQR RRT planning
-,,,,,IEEE,,safe LQR RRT planning
-,,,,,IEEE,,safe LQR RRT planning
-,,,,,IEEE,,safe LQR RRT planning
-,,,,,IEEE,,safe LQR RRT planning
-,,,,,IEEE,,safe LQR RRT planning
-,,,,,IEEE,,safe LQR RRT planning
-,,,,,IEEE,,safe LQR RRT planning
-,,,,,IEEE,,safe LQR RRT planning
-,,,,,IEEE,,time varying CBF planning
A cascaded dynamic obstacle avoidance strategy for cable-driven continuum robots based on kinematics and dynamics,Yanan Qin & Qi Chen,2025,Nonlinear Dynamics,https://link.springer.com/article/10.1007/s11071-024-10858-7,springer,0,dynamic obstacle avoidance vehicles
A Comparative Study of Rapidly-exploring Random Tree Algorithms Applied to Ship Trajectory Planning and Behavior Generation,"Tengesdal, T., Pedersen, T.A. & Johansen, T.A.",2025,"J Intell Robot Syst 111, 14",https://link.springer.com/article/10.1007/s10846-025-02222-7,springer,2,safe LQR RRT planning
A comparative study on trajectory tracking control methods for automated vehicles,"Zeng, D., Pan, S., Yu, Y. et al.",2025,"Sci Rep 15, 17073",https://link.springer.com/article/10.1038/s41598-025-01365-9,springer,0,safe LQR steering vehicles
A Composite Control Framework of Safety Satisfaction and Uncertainties Compensation for Constrained Time-Varying Nonlinear MIMO Systems,Haijing Wang; Jinzhu Peng; Fangfang Zhang; Yaonan Wang,2023,"IEEE Transactions on Systems, Man, and Cybernetics: Systems ( Volume: 53, Issue: 12, December 2023) ",https://ieeexplore.ieee.org/abstract/document/10226283,google scholar,9,time varying CBF planning
A Comprehensive Review of Recent Advances in Automated Guided Vehicle Technologies: Dynamic Obstacle Avoidance in Complex Environment Toward Autonomous Capability,Muhammad Aizat; Nurakasyah Qistina; Wan Rahiman,2023,IEEE Transactions on Instrumentation and Measurement ( Volume: 73),https://ieeexplore.ieee.org/abstract/document/10339361,google scholar,17,dynamic obstacle avoidance vehicles
"A comprehensive survey of past challenges, present approaches, and future research trends and scope: Alzheimer’s disease detection using MRI images","Salunkhe, S.P., Suryawanshi, N.A.",2025,Res. Biomed. Eng. 41,https://link.springer.com/article/10.1007/s42600-024-00394-z,springer,0,CBF gain parameter tuning
A control allocation strategy of multi-axle unmanned distributed drive vehicle,Tian Luo; Bo Su; Naisi Zhang; Senqi Tan,2021,2021 2nd International Conference on Artificial Intelligence and Computer Engineering (ICAICE),https://ieeexplore.ieee.org/document/9797650,IEEE,1,safe LQR steering vehicles
