Source Title,Authors,Year,Journal/Publisher,DOI/URL,Database/Source,Citations,Search Keywords
LQR-RRT*: Optimal sampling-based motion planning with automatically derived extension heuristics,"A. Perez, R. Platt, G. Konidaris, L. Kaelbling and T. Lozano-Perez",2012,2012 IEEE International Conference on Robotics and Automation,https://ieeexplore.ieee.org/abstract/document/6225177,google scholar,343,safe LQR RRT planning
RRTX: Asymptotically optimal single-query sampling-based motion planning with quick replanning,Michael Otte ottemw@mit.edu and Emilio Frazzoli,2015,The International Journal of Robotics Research,https://doi.org/10.1177/0278364915594679,google scholar,284,RRT replanning moving obstacles
RRTX: Real-Time Motion Planning/Replanning for Environments with Unpredictable Obstacles,"Otte, M., Frazzoli, E.",2015,"Springer Tracts in Advanced Robotics ((STAR,volume 107)) ",https://link.springer.com/chapter/10.1007/978-3-319-16595-0_27,google scholar,153,RRT replanning moving obstacles
A novel RRT*-based algorithm for motion planning in Dynamic environments,Olzhas Adiyatov; Huseyin Atakan Varol,2017,2017 IEEE International Conference on Mechatronics and Automation (ICMA),https://ieeexplore.ieee.org/abstract/document/8016024,google scholar,142,RRT replanning moving obstacles
Obstacle Avoidance for Low-Speed Autonomous Vehicles With Barrier Function,Yuxiao Chen; Huei Peng; Jessy Grizzle,2018,"IEEE Transactions on Control Systems Technology ( Volume: 26, Issue: 1, January 2018) ",https://ieeexplore.ieee.org/abstract/document/7864310,google scholar,222,control barrier function autonomous
Risk-Averse RRT* Planning with Nonlinear Steering and Tracking Controllers for Nonlinear Robotic Systems Under Uncertainty,Sleiman Safaoui; Benjamin J. Gravell; Venkatraman Renganathan; Tyler H. Summers,2021,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),https://ieeexplore.ieee.org/document/9636834,IEEE,17,safe LQR RRT planning
Rule-Based Safety-Critical Control Design using Control Barrier Functions with Application to Autonomous Lane Change,Suiyi He; Jun Zeng; Bike Zhang; Koushil Sreenath,2021,2021 American Control Conference (ACC),https://ieeexplore.ieee.org/abstract/document/9482848,google scholar,86,control barrier function autonomous
Smooth-RRT*: Asymptotically Optimal Motion Planning for Mobile Robots under Kinodynamic Constraints,Yiting Kang; Zhi Yang; Riya Zeng; Qi Wu,2021,2021 IEEE International Conference on Robotics and Automation (ICRA),https://ieeexplore.ieee.org/document/9560804,IEEE,7,kinodynamic RRT autonomous vehicles
Stability Control of Autonomous Ground Vehicles Using Control-Dependent Barrier Functions,Yiwen Huang; Sze Zheng Yong; Yan Chen,2021,"IEEE Transactions on Intelligent Vehicles ( Volume: 6, Issue: 4, December 2021) ",https://ieeexplore.ieee.org/abstract/document/9351650,google scholar,59,control barrier function autonomous
A TD-RRT* Based Real-Time Path Planning of a Nonholonomic Mobile Robot and Path Smoothening Technique Using Catmull-Rom Interpolation,Jyotish; Mei-Yung Chen,2022,2022 International Conference on System Science and Engineering (ICSSE),https://ieeexplore.ieee.org/document/9948258,IEEE,2,RRT replanning moving obstacles
An Improved RRT* Path Planning Algorithm in Dynamic Environment,"Li, J., Wang, K., Chen, Z., Wang, J.",2022,"Communications in Computer and Information Science, vol 1713.",https://link.springer.com/chapter/10.1007/978-981-19-9195-0_25,springer,4,RRT replanning moving obstacles
Autonomous Racing with Multiple Vehicles using a Parallelized Optimization with Safety Guarantee using Control Barrier Functions,Suiyi He; Jun Zeng; Koushil Sreenath,2022,2022 International Conference on Robotics and Automation (ICRA),https://ieeexplore.ieee.org/abstract/document/9811969,google scholar,40,control barrier function autonomous
Differentiable Control Barrier Functions for Vision-based End-to-End Autonomous Driving,"Wei Xiao, Tsun-Hsuan Wang, Makram Chahine, Alexander Amini, Ramin Hasani, Daniela Rus",2022,arXiv preprint arXiv:2203.02401,https://arxiv.org/abs/2203.02401,google scholar,22,control barrier function autonomous
Safe and Stable RL (S2RL) Driving Policies Using Control Barrier and Control Lyapunov Functions,Briti Gangopadhyay; Pallab Dasgupta; Soumyajit Dey,2022,"IEEE Transactions on Intelligent Vehicles ( Volume: 8, Issue: 2, February 2023) ",https://ieeexplore.ieee.org/document/9737420,IEEE,18,CBF QP autonomous driving
Safety research on stabilization of autonomous vehicles based on improved-LQR control,Hao Li; Peiqing Li ;Likang Yang; Jun Zou; Qipeng Li,2022,"AIP Advances 12, 015313 (2022)",https://doi.org/10.1063/5.0078950,google scholar,25,safe LQR steering vehicles
Safety-Critical Control With Nonaffine Control Inputs Via a Relaxed Control Barrier Function for an Autonomous Vehicle,Joohwan Seo; Joonho Lee; Eunkyu Baek; Roberto Horowitz; Jongeun Choi,2022,"IEEE Robotics and Automation Letters ( Volume: 7, Issue: 2, April 2022) ",https://ieeexplore.ieee.org/abstract/document/9681339,google scholar,52,CBF QP autonomous driving
Future-Focused Control Barrier Functions for Autonomous Vehicle Control,Mitchell Black; Mrdjan Jankovic; Abhishek Sharma; Dimitra Panagou,2023,2023 American Control Conference (ACC),https://ieeexplore.ieee.org/abstract/document/10156163,google scholar,17,control barrier function autonomous
Lane-Change Collision Avoidance Control for Automated Vehicles with Control Barrier Functions,"Ding, Y., Zhong, H., Qian, Y. et al.",2023," Int.J Automot. Technol. 24, 739–748",https://link.springer.com/article/10.1007/s12239-023-0061-2,springer,6,CBF QP autonomous driving
LQR-CBF-RRT*: Safe and Optimal Motion Planning,"Guang Yang, Mingyu Cai, Ahmad Ahmad, Amanda Prorok, Roberto Tron, Calin Belta",2023,arXiv preprint arXiv:2304.00790,https://arxiv.org/abs/2304.00790#,google scholar,16,safe LQR RRT planning
MPC-CBF Strategy for Multi-Robot Collision-Free Path-Following,Arthur Da C. Vangasse; Guilherme V. Raffo; Luciano C. A. Pimenta,2023,"2023 Latin American Robotics Symposium (LARS), 2023 Brazilian Symposium on Robotics (SBR), and 2023 Workshop on Robotics in Education (WRE)",https://ieeexplore.ieee.org/document/10332984,IEEE,2,time varying CBF planning
Rate-Tunable Control Barrier Functions: Methods and Algorithms for Online Adaptation,"Hardik Parwana, Dimitra Panagou",2023,arXiv:2303.12966,https://doi.org/10.48550/arXiv.2303.12966,google scholar,3,CBF gain parameter tuning
Research on Path Planning and Tracking Control of Autonomous Vehicles Based on Improved RRT* and PSO-LQR,"Zhang, Y.; Gao, F.; Zhao, F.",2023,"Processes 2023, 11, 1841",https://www.mdpi.com/2227-9717/11/6/1841,google scholar,19,safe LQR RRT planning
Safe Autonomy with Control Barrier Functions," Wei Xiao , Christos G. Cassandras , Calin Belta",2023,Book,https://link.springer.com/book/10.1007/978-3-031-27576-0,google scholar,57,control barrier function autonomous
Safe Feedback Motion Planning in Unknown Environments: An Instantaneous Local Control Barrier Function Approach,"Li, C., Zhang, Z., Ahmed, N. et al.",2023,"J Intell Robot Syst 109, 40",https://link.springer.com/article/10.1007/s10846-023-01962-8,springer,0,safe LQR RRT planning
Safe Trajectory Path Planning Algorithm Based on RRT* While Maintaining Moderate Margin From Obstacles,"Lim, S., Jin, S.",2023,"Int. J. Control Autom. Syst. 21, 3540–3550",https://link.springer.com/article/10.1007/s12555-023-0383-x,springer,10,kinodynamic RRT autonomous vehicles
Safety controller based on control barrier functions using quasi-saturation function,"Ueki, S., Ikeda, T. & Yamada, H.",2023,"Artif Life Robotics 28, 789–796",https://link.springer.com/article/10.1007/s10015-023-00899-3,springer,1,control barrier function autonomous
Safety-Critical Lane Change Control of Autonomous Vehicles on Curved Roads Based on Control Barrier Functions,Zehua Shi; Haoji Liu; Ziyi Liu; Tingting Li; Zhe Shi; Weichao Zhuang,2023,2023 IEEE International Automated Vehicle Validation Conference (IAVVC),https://ieeexplore.ieee.org/document/10328105,IEEE,0,CBF QP autonomous driving
Safety-Critical Path Planning of Autonomous Surface Vehicles Based on Rapidly-Exploring Random Tree Algorithm and High Order Control Barrier Functions,Yihe Li; Zhouhua Peng; Lu Liu; Haoliang Wang; Nan Gu; Anqing Wang,2023,"2023 8th International Conference on Automation, Control and Robotics Engineering (CACRE)",https://ieeexplore.ieee.org/document/10208636,IEEE,1,control barrier function autonomous
A Novel Online Safe Reinforcement Learning with Control Barrier Function Technique for Autonomous vehicles,Fatemeh Jabbari; Reza Samsami; Mohammad Mehdi Arefi,2024,"2024 10th International Conference on Control, Instrumentation and Automation (ICCIA)",https://ieeexplore.ieee.org/document/10768178,IEEE,0,control barrier function autonomous
Advances in the Theory of Control Barrier Functions: Addressing practical challenges in safe control synthesis for autonomous and robotic systems,"Kunal Garg, James Usevitch, Joseph Breeden, Mitchell Black, Devansh Agrawal, Hardik Parwana, Dimitra Panagou,",2024,Annual Reviews in Control,https://doi.org/10.1016/j.arcontrol.2024.100945,google scholar,35,control barrier function autonomous
Autonomous Vehicle Lane-Change Control Based on Model Predictive Control with Control Barrier Function,Xiaoya Chen; Xiangbin Liu; Min Zhang,2024,2024 IEEE 13th Data Driven Control and Learning Systems Conference (DDCLS),https://ieeexplore.ieee.org/document/10606562,IEEE,1,control barrier function autonomous
Control Barrier Functions for Stochastic Systems under Signal Temporal Logic Tasks,Arash Bahari Kordabad; Maria Charitidou; Dimos V. Dimarogonas; Sadegh Soudjani,2024,2024 European Control Conference (ECC),https://ieeexplore.ieee.org/document/10591078,IEEE,1,time varying CBF planning
Differentiable Optimization Based Time-Varying Control Barrier Functions for Dynamic Obstacle Avoidance,"Bolun Dai, Rooholla Khorrambakht, Prashanth Krishnamurthy, Farshad Khorrami",2024,arXiv preprint arXiv:2309.17226.,https://doi.org/10.48550/arXiv.2309.17226,google scholar,4,time varying CBF planning
Disturbance Observer-Enhanced Adaptive CBFs for Safety-Critical Motion Control of Autonomous Vehicles,Yifan Cheng; Yuxiang Zhang; Yuyao Jiang; Hongqing Chu; Bingzhao Gao; Hong Chen,2024,2024 IEEE 27th International Conference on Intelligent Transportation Systems (ITSC),https://ieeexplore.ieee.org/abstract/document/10920261,google scholar,0,CBF QP autonomous driving
Dynamic Informed Bias RRT*-Connect: Improving Heuristic Guidance by Dynamic Informed Bias Using Hybrid Dual Trees Search,"Li, H., Kang, Y. & Han, H.",2024,"J Intell Robot Syst 110, 106",https://link.springer.com/article/10.1007/s10846-024-02144-w,springer,5,kinodynamic RRT autonomous vehicles
Motion Planning and Pose Control for Flexible Spacecraft Using Enhanced LQR-RRT*,Xilin Zhong; Zhengtao Wei; Ti Chen,2024,"IEEE Transactions on Aerospace and Electronic Systems ( Volume: 59, Issue: 6, December 2023) ",https://ieeexplore.ieee.org/abstract/document/10234103,google scholar,7,safe LQR RRT planning
Navigating the Noise: A CBF Approach for Nonlinear Control with Integral Constraints,Idris Seidu; Roberto Tron,2024,2024 IEEE 63rd Conference on Decision and Control (CDC),https://ieeexplore.ieee.org/document/10886603,IEEE,0,time varying CBF planning
RRT-CBF Based Motion Planning,"Leonas Liu, Yingfan Zhang, Larry Zhang, Mehbi Kermanshabi",2024,preprint arXiv:2410.00343,https://doi.org/10.48550/arXiv.2410.00343,google scholar,2,safe LQR RRT planning
Safe Reinforcement Learning for Autonomous Driving by Using Disturbance-Observer-Based Control Barrier Functions,Zhengyu Hou; Wenjun Liu; Alois Knoll,2024,IEEE Transactions on Intelligent Vehicles ( Early Access ),https://ieeexplore.ieee.org/abstract/document/10684598,google scholar,3,CBF QP autonomous driving
Safety-critical control for autonomous systems: Control barrier functions via reduced-order models,Max H. Cohen and Tamas G. Molnar and Aaron D. Ames,2024,Annual Reviews in Control,https://doi.org/10.1016/j.arcontrol.2024.100947,google scholar,47,control barrier function autonomous
Survey Paper on Control Barrier Functions,Promit Panja,2024,arXiv preprint arXiv:2408.13271.,https://doi.org/10.48550/arXiv.2408.13271,google scholar,0,CBF QP autonomous driving
Time-Varying Soft-Maximum Control Barrier Functions for Safety in an A Priori Unknown Environment,Amirsaeid Safari; Jesse B. Hoagg,2024,2024 American Control Conference (ACC),https://ieeexplore.ieee.org/abstract/document/10644256,google scholar,11,time varying CBF planning
Train Safety Control Based on Deep Deterministic Policy Gradient with Control Barrier Function,Guoteng Wang; Jidong Lv; Hongjie Liu; Ming Chai; Tao Tang; Wentao Zhang,2024,"2024 International Conference on Networking, Sensing and Control (ICNSC)",https://ieeexplore.ieee.org/document/10760112,IEEE,0,control barrier function autonomous
Trust-Aware Safe Control for Autonomous Navigation: Estimation of System-to-Human Trust for Trust-Adaptive Control Barrier Functions,Saad Ejaz; Masaki Inoue,2024,"IEEE Transactions on Control Systems Technology ( Volume: 33, Issue: 4, July 2025) ",https://ieeexplore.ieee.org/document/10737454,IEEE,1,control barrier function autonomous
Whole-body Dynamic Collision Avoidance with Time-varying Control Barrier Functions,Jihao Huang; Xuemin Chi; Zhitao Liu; Hongye Su,2024,2024 36th Chinese Control and Decision Conference (CCDC),https://ieeexplore.ieee.org/abstract/document/10588112,google scholar,2,time varying CBF planning
Collision Avoidance in Autonomous Vehicles Using the Control Lyapunov Function–Control Barrier Function–Quadratic Programming Approac,"Chen, Haochong; Zhang, Fengrui; Aksun-Guvenc, Bilin",2025,"Electronics; Basel Bd. 14, Ausg. 3, ",https://www.proquest.com/openview/226f30ef2090e04620d6437afe50c557/1?pq-origsite=gscholar&cbl=2032404,google scholar,1,CBF QP autonomous driving
Control Barrier Function Based Model Predictive Control to Safety Obstacle-Avoidance of Autonomous Manned Mobile Robots,"Gao, Q., Feng, J., Zhang, G., Cao, W.",2025,"Lecture Notes in Electrical Engineering, vol 1341. Springer, Singapore.",https://link.springer.com/chapter/10.1007/978-981-96-2216-0_58,springer,0,control barrier function autonomous
Control Barrier Function Based Three-Channel Coupling Control of Air-Breathing Hypersonic Vehicle with AoA Constraint,"Huang, J., Liu, J., Guo, H., Fu, W.",2025,Proceedings of 4th 2024 International Conference on Autonomous Unmanned Systems (4th ICAUS 2024). ICAUS 2024,https://link.springer.com/chapter/10.1007/978-981-96-3568-9_27,springer,0,CBF QP autonomous driving
Control Barrier Function-Based Discrete-Time Adaptive Control for Uncertain Systems,"Xu, H., Shi, Z., Zhao, L.",2025,"ICGNC 2024. Lecture Notes in Electrical Engineering, vol 1341.",https://link.springer.com/chapter/10.1007/978-981-96-2216-0_27,springer,0,control barrier function autonomous
