rollout,cbf,T_ms,J,success,nodes
0,0,12067.144300090149,33.029317069125504,1,1357
1,0,11191.289100097492,30.74983319056485,1,1341
2,0,11683.790399925783,18.720576622852295,1,1367
3,0,10949.101000092924,15.981329121786494,1,1365
4,0,9684.360600076616,24.81186308499562,1,1324
5,0,10798.022999893874,50.19890875014496,1,1378
6,0,11804.68299984932,32.49810702429761,1,1352
7,0,11107.32619999908,34.04854871378156,1,1341
8,0,10401.430899975821,25.491411286659893,1,1360
9,0,11097.560599911958,15.298144278212071,1,1367
10,0,10571.78430003114,30.394772503366326,1,1351
11,0,10861.481699859723,42.81614790814837,1,1299
12,0,9972.610800061375,41.49717717770236,1,1359
13,0,11218.411799985915,19.079804912957695,1,1348
14,0,9893.068299861625,33.745333888278104,1,1378
15,0,11121.44359992817,29.817550633119772,1,1370
16,0,9994.7458000388,19.30908410291757,1,1358
17,0,10390.167500125244,17.219070234614232,1,1330
18,0,10615.74749997817,35.07015607892179,1,1364
19,0,12184.80039993301,41.40473117148957,1,1366
20,0,10576.9535000436,17.71169166031646,1,1336
21,0,10287.69370005466,37.36882644567701,1,1352
22,0,12127.060899976641,35.81870720363304,1,1354
23,0,11089.694899972528,32.19746358247366,1,1343
24,0,11577.354699838907,28.48972816395231,1,1354
25,0,10541.054599918425,31.609570409951463,1,1399
26,0,10552.04900004901,24.729673765631986,1,1332
27,0,12601.19939991273,21.664858798644882,1,1312
28,0,9713.73560000211,36.75868710956915,1,1358
29,0,12315.04000001587,21.782958394100664,1,1338
30,0,11319.46810008958,13.537522549835012,1,1335
31,0,10564.344499958679,21.827210299081706,1,1368
32,0,10222.857200074941,24.056367583603585,1,1359
33,0,9558.683399809524,18.98351104027397,1,1340
34,0,10034.562399843708,26.923868248628406,1,1355
35,0,13163.603299995884,30.127815486890153,1,1318
36,0,11255.087499972433,38.65493164318087,1,1324
37,0,9816.600900143385,39.75071806889765,1,1378
38,0,11650.678199948743,38.02275749944208,1,1382
39,0,11607.750799972564,19.028697062999147,1,1396
40,0,12248.509400058538,49.022476451917115,1,1293
41,0,9938.510899897665,24.754288342633714,1,1315
42,0,10887.593399966136,18.617583730118824,1,1304
43,0,11596.414600033313,41.62933054517964,1,1377
44,0,10027.118799975142,27.90240607942355,1,1339
45,0,11496.994300046936,23.773479566252675,1,1364
46,0,11783.902100054547,23.244831509617867,1,1363
47,0,9797.347799874842,36.22931147503622,1,1332
48,0,11241.622499888763,19.646391418748404,1,1319
49,0,9931.504899868742,34.943243926265865,1,1348
50,0,10458.625900093466,28.93854334721584,1,1296
51,0,10614.118299912661,23.287596724224663,1,1355
52,0,10553.310499992222,24.08166433753849,1,1334
53,0,12340.41119995527,22.949436342604272,1,1325
54,0,9906.250400003046,18.07758112019664,1,1346
55,0,10858.993799891323,17.26801572896855,1,1313
56,0,11425.267099868506,32.37414612616981,1,1344
57,0,9100.99110007286,38.13153691304057,1,1352
58,0,10465.885499957949,10.195788431228983,1,1306
59,0,9833.276099991053,32.02960916192548,1,1371
60,0,12207.24319992587,17.25536595049126,1,1341
61,0,10744.33059990406,29.71209063378637,1,1354
62,0,11039.228400215507,24.538369304224716,1,1356
63,0,11645.435000071302,34.43996936220598,1,1329
64,0,11271.465900121257,19.111349183629322,1,1334
65,0,12450.063700089231,31.76320378400469,1,1333
66,0,11879.63159987703,20.438279257717863,1,1340
67,0,11440.277099842206,25.437367706539842,1,1360
68,0,10956.027199979872,16.970406740378674,1,1349
69,0,10386.679500108585,31.888980740747034,1,1341
70,0,12114.511599997059,16.74903979705894,1,1350
71,0,9974.591699894518,50.28886455898114,1,1348
72,0,10475.342400139198,39.413615721375244,1,1349
73,0,10011.785299982876,36.56183712636952,1,1348
74,0,9889.814000111073,16.787933277234544,1,1352
75,0,10183.20419988595,29.5560386838693,1,1374
76,0,11434.571399819106,24.351841433223633,1,1356
77,0,11463.271599961445,28.001005690467633,1,1323
78,0,10288.79650007002,8.86206014738846,1,1388
79,0,10278.749899938703,29.098388858015216,1,1334
80,0,9912.602900061756,22.917811637674443,1,1362
81,0,11244.868399808183,43.14727981938638,1,1353
82,0,10939.953499939293,16.049256657110398,1,1374
83,0,8957.41460006684,18.16901728435421,1,1306
84,0,10739.760499913245,33.350735126872735,1,1338
85,0,10330.100199906155,35.37384600424992,1,1375
86,0,10896.867099916562,20.032471984681226,1,1372
87,0,9183.012899942696,26.703667524629708,1,1354
88,0,9984.089800156653,17.930488399450653,1,1324
89,0,10880.887599894777,16.78199413993285,1,1350
90,0,10267.168800113723,24.118433105209146,1,1288
91,0,10322.209700010717,38.397185687286196,1,1362
92,0,11093.75900006853,40.85446943783038,1,1364
93,0,10739.310699980706,27.93005502989213,1,1340
94,0,11256.046700058505,36.18717276574697,1,1331
95,0,10851.66889987886,34.879288471860114,1,1345
96,0,11478.79679990001,25.255811041047455,1,1299
97,0,11451.915400102735,16.72921613690793,1,1362
98,0,11501.04510015808,27.125087149266083,1,1375
99,0,12194.059300003573,23.08904359087838,1,1321
