alpha,v_nom,step_len,success_rate,collision_rate,avg_min_dist,std_min_dist,num_success,num_total

0.25,1.5,6,1.0,0.0,3.674918266542195,2.5843120285142946,100,100

0.25,1.5,12,1.0,0.0,3.365833533114452,1.9837400552389197,100,100

0.25,3.0,6,1.0,0.0,3.1696980961429997,1.9974466269940294,100,100

0.25,3.0,12,1.0,0.0,3.414221566660712,2.2923932948743575,100,100

0.25,5.0,6,1.0,0.0,2.949662128668445,1.5006257815185537,100,100

0.25,5.0,12,1.0,0.0,2.973417543299106,1.6732158013077052,100,100

0.5,1.5,6,1.0,0.0,3.1931999705665333,1.8896670564648896,100,100

0.5,1.5,12,1.0,0.0,3.4626760299886468,1.8679640541932556,100,100

0.5,3.0,6,1.0,0.0,3.041158425506751,1.7533146325016475,100,100

0.5,3.0,12,1.0,0.0,3.4720098473590415,2.3460402214437472,100,100

0.5,5.0,6,1.0,0.0,2.745266527600886,1.5047606996426437,100,100

0.5,5.0,12,1.0,0.0,3.1276337718109737,1.6452552923987271,100,100

1.0,1.5,6,1.0,0.0,3.5637406938541654,2.5853706977099167,100,100

1.0,1.5,12,1.0,0.0,4.11637319689554,3.960419432859336,100,100

1.0,3.0,6,0.99,0.01,3.1078918205985144,1.6997872234093525,100,100

1.0,3.0,12,1.0,0.0,3.1414816774888528,1.645278170393947,100,100

1.0,5.0,6,1.0,0.0,2.7638908752838667,1.1756979678701758,100,100

1.0,5.0,12,1.0,0.0,2.8280300949292867,1.6349177291803114,100,100

